OPIS Truckstop ID,Truckstop_Name,Address,City,State,Rack_ID,Average_Retail_Price,Highest_Price,city_lat,city_lon,row_index,Geocoded_Lat,Geocoded_Lon,Matched_Address,Query_Used,Attempt,Geocode_Status,Done
7269,GRAND ISLAND TRAVEL CENTER,"I-80, EXIT 312 & US-281/US-34",Grand Island,NE,330,3.26566666,3.26566666,40.9218,-98.3586,1014,40.83143,-98.38251,,"GRAND ISLAND TRAVEL CENTER, I-80, EXIT 312 & US-281/US-34, Grand Island, NE",1,OK,done
7282,ALLTOWN FRESH,"I-87, EXIT 17N & US-9",Fort Edward,NY,12,3.769,3.779,nan,nan,1015,43.24304,-73.68111,,"ALLTOWN FRESH, I-87, EXIT 17N & US-9, Fort Edward, NY",1,OK,done
7284,MURALTS TRUCK PLAZA,"I-90, EXIT 96 & US-93/SR-200",Missoula,MT,820,3.609,3.609,46.8751,-114.0214,1016,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
7285,SENECA ONE STOP,"SR-17, EXIT 20",Salamanca,NY,38,3.309,3.309,42.1631,-78.7233,1017,42.15889,-78.74506,,"SENECA ONE STOP, SR-17, EXIT 20, Salamanca, NY",1,OK,done
7286,TA MISSOULA,"I-90, EXIT 96 & US-93",Missoula,MT,820,3.699,3.699,46.8751,-114.0214,1018,46.8723,-113.99413,,"TA MISSOULA, I-90, EXIT 96 & US-93, Missoula, MT",1,OK,done
7288,TA LAUREL,"I-90, EXIT 437",Laurel,MT,780,3.61233333,3.61233333,45.6735,-108.7707,1019,45.66275,-108.76867,,"TA LAUREL, I-90, EXIT 437, Laurel, MT",1,OK,done
7289,TA STRAFFORD,"I-44, EXIT 88 & SR-125",Strafford,MO,535,3.36566666,3.36566666,37.2689,-93.1183,1020,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
7291,TA OAK GROVE TRAVEL CENTER,"I-70, EXIT 28",Oak Grove,MO,400,3.22233333,3.22233333,39.0075,-94.1282,1021,39.0167,-94.14113,,"TA OAK GROVE TRAVEL CENTER, I-70, EXIT 28, Oak Grove, MO",1,OK,done
7293,TA Matthews Travel Center,"I-55, EXIT 58 & SR-80",Matthews,MO,574,3.20566666,3.20566666,36.7584,-89.5688,1022,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
7299,GASPERS - FAST LANE,"I-70, EXIT 148 & US-54",Kingdom City,MO,392,2.959,2.959,38.9473,-91.9389,1023,38.9443,-91.94489,,"GASPERS - FAST LANE, I-70, EXIT 148 & US-54, Kingdom City, MO",1,OK,done
7300,B AND D AUTO TRUCK PLAZA,"I-44, EXIT 127",Lebanon,MO,416,3.099,3.099,37.6717,-92.6603,1024,37.64916,-92.66975,,"B AND D AUTO TRUCK PLAZA, I-44, EXIT 127, Lebanon, MO",1,OK,done
7310,AAA HOSPITALITY,"I-55, EXIT 220",Tillatoba,MS,435,2.784,2.784,33.9851,-89.896,1025,33.99712,-89.87071,,"AAA HOSPITALITY, I-55, EXIT 220, Tillatoba, MS",1,OK,done
7312,208 FUEL PLAZA,"I-70, EXIT 208",Belmont,OH,430,3.419,3.419,40.028,-81.0409,1026,40.06492,-81.02881,,"208 FUEL PLAZA, I-70, EXIT 208, Belmont, OH",1,OK,done
7314,TA MERIDIAN TRAVEL CENTER,"I-20 & I-59, EXIT 160",Meridian,MS,705,2.91233333,2.91233333,32.3846,-88.6896,1027,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
7323,TRUCKERS INN,"I-94/US-52, EXIT 127 & US-71",Sauk Centre,MN,453,3.22566666,3.22566666,45.736,-94.9523,1028,45.74279,-94.95319,,"TRUCKERS INN, I-94/US-52, EXIT 127 & US-71, Sauk Centre, MN",1,OK,done
7326,PETRO STOP #398,"I-35 & I-90, EXIT 11",Albert Lea,MN,515,4.099,4.099,43.6548,-93.3643,1029,43.65475,-93.32052,,"PETRO STOP #398, I-35 & I-90, EXIT 11, Albert Lea, MN",1,OK,done
7327,TA TEKONSHA,"I-69,EXIT 25 & SR-60",Tekonsha,MI,385,3.629,3.699,42.0964,-84.9903,1030,,,"ERROR: 403 Denied: {""message"":""Missing Authentication Token""}",,99,ERROR,not done
7331,SPEEDWAY #9266,US-52 & SR-234,Ironton,OH,255,3.699,3.699,38.5323,-82.6779,1031,38.57473,-82.81314,,"SPEEDWAY #9266, US-52 & SR-234, Ironton, OH",1,OK,done
7332,FLYING J #895,"I-75, EXIT 32A",Trenton,MI,325,3.379,3.559,42.1394,-83.1929,1032,42.13771,-83.23749,,"FLYING J #895, I-75, EXIT 32A, Trenton, MI",1,OK,done
7335,TA SAWYER TRAVEL CENTER,"I-94, EXIT 12",Sawyer,MI,465,3.694,3.699,nan,nan,1033,41.88612,-86.6007,,"TA SAWYER TRAVEL CENTER, I-94, EXIT 12, Sawyer, MI",1,OK,done
7337,TA BATTLE CREEK,"I-94, EXIT 104",Battle Creek,MI,385,4.0015,4.039,42.2985,-85.2296,1034,42.31329,-85.19507,,"TA BATTLE CREEK, I-94, EXIT 104, Battle Creek, MI",1,OK,done
7341,INTERSTATE TRAVEL PLAZA,"I-495, EXIT 14A & US-1",Wrentham,MA,175,3.699,3.699,nan,nan,1035,42.04,-71.34098,,"INTERSTATE TRAVEL PLAZA, I-495, EXIT 14A & US-1, Wrentham, MA",1,OK,done
7344,BEST QUICK STOP,US-1,Peabody,MA,178,3.61566666,3.61566666,42.5335,-70.9725,1036,42.53521,-70.98888,,"BEST QUICK STOP, US-1, Peabody, MA",1,OK,done
7353,DYSARTS SERVICE,"I-95, EXIT 44",Bangor,ME,26,3.799,3.799,44.8323,-68.7906,1037,44.77545,-68.8629,,"DYSARTS SERVICE, I-95, EXIT 44, Bangor, ME",1,OK,done
7354,CIRCLE K #4707065,"I-95, EXIT 2",Kittery,ME,125,3.899,3.899,nan,nan,1038,43.09995,-70.7481,,"CIRCLE K #4707065, I-95, EXIT 2, Kittery, ME",1,OK,done
